Name,Rating,Address,URL,Price,Type,Phone,Cousines,Meal
The Kelapa Cafe by TRV Langkawi,3.5 ,"61, Jalan Tanjung Rhu, Kampung Padang Lalang, Langkawi 07000 Malaysia",https://www.facebook.com/kelapacafelangkawi/?ref=page_internal,$$ - $$$,$$ - $$$Quick BitesInternational,+60 17-484 2604,,
Cafe1965,5.0 ,"Cafe 1965, 114, Jl. Teluk Baru, 07000 Langkawi, Kedah, Malaysia, Langkawi Malaysia",,$,$BarPub,+60 12-707 7798,,
Western Kampung,3.5 ,"Jalan Tanjung Rhu, Ayer Hangat, Langkawi 07000 Malaysia",https://www.facebook.com/pages/category/Restaurant/Western-Kampung-Ayer-Hangat-Langkawi-1479566285442484/,Indian,IndianAsianMalaysian,+60 11-1001 5856,,
Legend Soto,4.5 ,"Tapak Pasar Malam, Beras Terbakar Mukim Padang Matsirat, Langkawi 07000 Malaysia",,$,$Fast foodAsianIndonesian,+60 17-550 7884,,
Sajian Akis,4.5 ,"Bon Ton Resort From Airport to Chenang Beach, Langkawi 07000 Malaysia",,Seafood,SeafoodAsianThaiMalaysian,+60 19-873 7999,,
NoName Cafe & Resto,4.0 ,"78, Jalan Pelangi 1, Dayang Walk Commercial Square, Langkawi 07000 Malaysia",http://noname-cafe-hotel.business.site/,$,$ChinesePizzaAsian,+60 4-966 2806,,
Cruisers Kebab,5.0 ,"Kampung Lubok Buaya, Langkawi 07000 Malaysia",,Indian,IndianInternationalMiddle Eastern,+60 4-953 2107,,
Gelateria del Corso Centro,4.0 ,"Near Sugar Shop Entrance, Pantai Tengah, Langkawi 07000 Malaysia",http://www.facebook.com/corsocentro/,$,$DessertItalian,+60 13-433 7750,,
Hugo's Sunset Bar,4.5 ,"127 Jalan Dato Syed Omar Fisherman's Wharf Complex, Kuah, Langkawi 07000 Malaysia",,,,,,
DXN cafe & business,,"Jalan Pantai Tengah Sunblock, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$Healthy,+60 12-542 0122,,
Pai Kin Cfood,5.0 ,"716, Jalan Pantai Cenang, 07000 in front Casa de mar, Pantai Cenang, Langkawi 07000 Malaysia",,Thai,Thai,+60 10-291 8554,,
Subway,3.5 ,"Jalan Teluk Burau Oriental Village G4, Langkawi 07000 Malaysia",,$,$,6049591304,,
Papa Iranian Restaurant,3.0 ,"JL. Teluk Baru No3, JLN Pantai Tengah, Langkawi 07000 Malaysia",http://papalangkawi.wixsite.com/papa,$$ - $$$,$$ - $$$Middle EasternRussianPersian,+60 17-505 7300,,
Roti Canai Otai  Langkawi,5.0 ,"Jalan Kedawang, Kampung Kedawang, Langkawi 07000 Malaysia",https://www.facebook.com/RANGGUP,Asian,AsianMalaysian,+60 17-448 6392,,
Food Paradise Restaurant & Bistro,5.0 ,"Gf 411, Jalan Padang Matsirat, Main Road, Langkawi 07000 Malaysia",https://food-paradise-restaurant-bistro.business.site/?utm_source=gmb&utm_medium=referral,,,+60 17-446 9786,,
Safa Marwah Restaurant,4.0 ,"Langkawi Parade 21, Lorong Tiram, Kuah, Langkawi Malaysia",,Indian,Indian,+60 11-6234 9210,,
Tiptop Langkawi Cafe,5.0 ,"Pandak Mayah 2 Tiptop Langkawi Cafe, Langkawi 07000 Malaysia",,Grill,GrillContemporaryHealthy,+60 19-993 6412,,
