Name,Type,Hours,Duration,Description,Price,Address,Rating
Camp5 1Utama,Game & Entertainment Centres,12:00 PM - 11:00 PM,Duration: 2-3 hours,"Camp5 is Asia's Largest Climbing Gym, located only 20min from downtown KL, on the rooftop of one of Asia's largest malls, 1 Utama Shopping Center. Housed in a 20m high glass tower, climbers enjoy panorama views with full air conditioning. Shower and lockers are available. Refuel at the Camp5 Café. Competent climbers will need to register when they first enter, you’ll need basic top-rope safety skills to climb on the ropes, or you can opt for Boulder-only access. Essential items are available for rent or you can get kitted out at the Proshop. If your new to climbing, enroll on a 1 Hour Try Climbing Session or the 4 Hour Basic Wall Course and gain the certification to climb on your own. Advanced booking is required. Book online at booking.camp5.com We also offer Outdoor Guided Climbing, Birthday Party Packages, Corporate Team Building and a host of other programs. Standard Hours are: 2-11pm Weekdays 10am-8pm Weekend and Public Holidays.",,"Lebuh Bandar Utama EZ501, 5th Floor, 1 Utama Shopping Centre, Petaling Jaya 47800 Malaysia",4.5
Laser Battle,Game & Entertainment Centres,10:00 AM - 10:00 PM,,"Laser Battle, the best and most advance Laser Tag arena in South East Asia, using the latest Laser Tag Gaming Technology, Indoor laser tag is pure fun, 100% Laser Battle. Bright green lasers which you can see, and 7 vibration points to make sure you feel EVERY SINGLE SHOT! Great activity for all ages.",,"108 Jalan Wong Ah Fook MS 11 & 12, 4th Floor, Johor Bahru City Square, Johor Bahru 80000 Malaysia",5
1 Utama Shopping Centre,Speciality & Gift Shops,,,,,"1 Lebuh Bandar Utama, Petaling Jaya 47800 Malaysia",4.5
Danai Spa at Tanjung Bungah Penang,Spas,Closed until further notice,,"Danai Wellness is a Malaysia-based company established in 2004. Our parent company is listed on 1exchange Singapore and principally engaged in the provision of a wide range of services in the spa and medical wellness industry. We are an award-winning wellness brand with a prominent presence. Our current portfolio encompasses Danai Spa, Danai Wellness, Danai Medi-Wellness & La'gent, providing a myriad of products, services and treatments in various areas that include Spa, Meridian Massages, Advanced Aesthetics Facials, Hair Atelier and Medical Wellness. Tapping into our expertise as a leader in wellness for over 18 years and helmed by a panel of medical doctors, we strive to offer a suite of safe, efficient and effective services by employing a medical-based wellness approach.",,"103, Tanjung Bungah Park, Tanjung Bungah, Penang Island 11200 Malaysia",5
KL Taxi Service,Taxis & Shuttles,12:00 AM - 11:59 PM,Duration: More than 3 hours,"READ DESCRIPTIONS 1ST BEFORE WRITE A REVIEW KL Taxi Service offers convenient, reliable, and safe taxi services in Peninsular Malaysia, based in Kuala Lumpur. Allows you to book your reservation easily online or by phone. You will be picked up promptly and delivered to your final destination, safe and on-time. We can be reached 24/7. Your booking will be confirmed in less than 1 hour.Please provide the following information and send it to us.",,,5
Uroot Spa Marc Residence KLCC,Spas,11:00 AM - 9:00 PM,Duration: 1-2 hours,Uroot is a boutique spa that unites local techniques in every massage treatment. Each culturally-rich experience will leave you feeling relaxed to the roots. Uroot Spa awarded World Champhionship Participation 2023 and IMA Promotions Best Cultural Introduction 2023.,,"3 Jalan Pinang A-G-02, Ground Floor, Marc Residence KLCC Suites, Kuala Lumpur 50450 Malaysia",5
KAMA'A REJUVENATION & WELLBEING SPA,Spas,11:00 AM - 11:00 PM,Duration: 2-3 hours,"The Kama’A Rejuvenation & Wellbeing inspires relaxation, rejuvenation and a harmonious equilibrium of body, mind and spirit through holistic treatments drawn from age-old traditions of natural healing from both the East and West. Evoking the spirit of Sabah, the Kama’A Rejuvenation & Wellbeing features its own private label blends of pure essential oils in aromatherapy massages, facials and signature treatments. First opened in the year 2009 and has been a popular massage parlour destination since then amongst travellers to Kota Kinabalu City, Sabah, Malaysia.",,"Lot 3-32 3rd Floor Star City North Complex, Kota Kinabalu 88000 Malaysia",4.5
Danai Wellness Boutique @ Tanjung Tokong,Spas,10:00 AM - 9:00 PM,,"Danai Wellness is a Malaysia-based company established in 2004. Our parent company is listed on 1exchange Singapore and principally engaged in the provision of a wide range of services in the spa and medical wellness industry. We are an award-winning wellness brand with a prominent presence. Our current portfolio encompasses Danai Spa, Danai Wellness, Danai Medi-Wellness & La'gent, providing a myriad of products, services and treatments in various areas that include Spa, Meridian Massages, Advanced Aesthetics Facials, Hair Atelier and Medical Wellness. Tapping into our expertise as a leader in wellness for over 18 years and helmed by a panel of medical doctors, we strive to offer a suite of safe, efficient and effective services by employing a medical-based wellness approach.",,"3X, Jalan Pantai Molek Kampung Raya Baharu, Penang Island 10470 Malaysia",5
Sofitel Spa,Health Clubs,10:00 AM - 10:00 PM,Duration: 2-3 hours,"Located on level 2B at Sofitel Kuala Lumpur Damansara. If you’re looking to unwind and spend some quality time doing nothing during your stay, Sofitel Spa takes relaxation to new heights in Damansara. Soothe the senses with a relaxing hammam session, enjoy steam therapy in the sauna, a selection of exhilarating massages infused with French expertise, pampering facials, manicures, pedicures, nourishing body wraps and scrubs.",,"No 6 Jalan Damanlela, Bukit Damansara Bukit Damansara, Kuala Lumpur 50490 Malaysia",5
Museum Of Illusions Kuala Lumpur,Escape Games,10:00 AM - 10:00 PM,,"The Museum of Illusions Kuala Lumpur is like no place you’ve visited before. It's an intriguing, visual, sensory and educational experience including some of the well-known illusions as well as a whole range of mind tricks you’ve never seen in your life. Its both educational and entertaining content will thrill the young and the old. 

",,Visit website,5
Nu Sentral,Speciality & Gift Shops,,,,,"No. 201 Jalan Tun Sambanthan, Kuala Lumpur 50470 Malaysia",4
KL Starex Transportations,Taxis & Shuttles,12:00 AM - 11:59 PM,Duration: 2-3 hours,"Best in private city tours, fireflies & monkey feeding (Kuala Selangor) airport transfer, corporate booking, outsatation transfer to/from Melaka, Penang, Cameron Highland, Johor Bahru, Port Klang (cruise terminal), ipoh,Perak, Lumut Jetty (Pangkor Island), Tanjong Gemok Jetty & Mersing Jetty (Tioman Island), Taman Negara Kuala Tahan, Elephant Sanctuary Kuala Gandah.",,Visit website,5
Danai Wellness Boutique @Precint 10,Spas,10:00 AM - 9:00 PM,,"Danai Wellness is a Malaysia-based company established in 2004. Our parent company is listed on 1exchange Singapore and principally engaged in the provision of a wide range of services in the spa and medical wellness industry. We are an award-winning wellness brand with a prominent presence. Our current portfolio encompasses Danai Spa, Danai Wellness, Danai Medi-Wellness & La'gent, providing a myriad of products, services and treatments in various areas that include Spa, Meridian Massages, Advanced Aesthetics Facials, Hair Atelier and Medical Wellness. Tapping into our expertise as a leader in wellness for over 18 years and helmed by a panel of medical doctors, we strive to offer a suite of safe, efficient and effective services by employing a medical-based wellness approach.",,"10-b-05 & 10-b-06, Precinct, 10 Jalan Tanjung Tokong Lama, Tanjung Tokong, Penang Island 10470 Malaysia",5
Dalit Bay Golf & Country Club,Golf Courses,7:00 AM - 8:00 PM,,"Dalit Bay Golf & Country club is the resort’s 18-hole championship golf course. Bordered by the Tambalang and Mengkabong rivers, guests can tee-off with stunning views of Mount Kinabalu in the background. Nestled within 400 tropical acres, the course was successfully designed to highlight Sabah’s natural beauty.",,,4.5
Ivy Holidays,City Tours,9:00 AM - 5:00 PM,,,,Call,5
Malaysia Tour & Private Tour Transportation,Taxis & Shuttles,12:00 AM - 11:59 PM,Duration: More than 3 hours,"A Private Taxi Driver for a city tour, private tour to any city,airport transfer, City Transfer to all interesting places around Malaysia.",,Visit website,5
Mega Water Sports - Jet Ski Tours,Adrenaline & Extreme Tours,9:00 AM - 6:00 PM,,,,Call,5
Satkara Spa at Casa del Mar,Spas,,,"Located in Pantai Cenang, this is a spa themed with Langkawi in mind and inspired from mainland Malaysia, Thailand and India. Using traditional remedies past down from generation to generation and combining these with modern techniques, this spa is about exchanging stressed states for tranquility It embraces treatments that renew energies and evoke delicious relaxation. We utilize handcrafted products made with pure and natural ingredients adhering to traditional recipes and rituals.The spa offers a range of massages, body treatments, facials, manicures & pedicures. Open 7 days from 11am to 7pm.",,"Jalan Pantai Cenang Kedawang, Langkawi 07000 Malaysia",4.5
Alun Alun Spa,Spas,,,,,"Jalan Pandak Mayah 1 City Bayview Hotel, Langkawi 07000 Malaysia",4.5
Central Area Transit (CAT) Bus Service,Bus Services,,Duration: 1-2 hours,,,,4.5
KL Taxi Service & Tour Driver,Taxis & Shuttles,6:00 AM - 10:00 PM,Duration: < 1 hour,"Zaidi Private KL Taxi Service and Tour Driver, Provide Taxi Service and Tour to All Destination within peninsula of Malaysia, such as Airport Transfer, KL Taxi Service, City Tour, Outstation Tour, Long Distance Trip, Business Meeting Trip, Port Klang Cruise Excursion To Kuala Lumpur City Tour And Many more. with more than 10 years experience in Taxi's industry and Private Tour, I'm Sure Giving a satisfactory service to all customers, ...So when you are planning your holiday or Business Trip Meeting, Zaidi KL Taxi Service is the best choice for your private taxi service and tour driver, Let's me lead your journey..",,"TAMAN CHERAS PERDANA Cheras Perdana Apartment, Kuala Lumpur 43200 Malaysia",5
Danai Spa Boulevard,Spas,10:00 AM - 9:00 PM,Duration: 2-3 hours,"Danai Wellness is a Malaysia-based company established in 2004. Our parent company is listed on 1exchange Singapore and principally engaged in the provision of a wide range of services in the spa and medical wellness industry. We are an award-winning wellness brand with a prominent presence. Our current portfolio encompasses Danai Spa, Danai Wellness, Danai Medi-Wellness & La'gent, providing a myriad of products, services and treatments in various areas that include Spa, Meridian Massages, Advanced Aesthetics Facials, Hair Atelier and Medical Wellness. Tapping into our expertise as a leader in wellness for over 18 years and helmed by a panel of medical doctors, we strive to offer a suite of safe, efficient and effective services by employing a medical-based wellness approach.",,"Boulevard Hotel, 59 Lingkaran Syed Putra Mid Valley City, Kuala Lumpur 59200 Malaysia",5
Amazing Borneo Tours,Multi-day Tours,8:30 AM - 6:00 PM,,,,Call,5
LaserOPS,Game & Entertainment Centres,,Duration: 1-2 hours,"LaserOPS’s objective is to provide exhilarating adventure and fun through our purpose built state of the art Indoor Laser Tag Arena. Our missions promise you adrenaline pumping fun and challenge! Navigate through a maze, shoot down down your opponents, hone your team and battle skills in tactical games or simply just have a shootout for an exhilarating experience, like never before!",,"L4-01-02, NU Sentral 201 Jalan Tun Sambanthan, Brickfields, Penang Island 50470 Malaysia",4.5
Dewan Filharmonik Petronas,Symphonies,,,"Dewan Filharmonik PETRONAS, located in the middle of the PETRONAS Twin Towers, is a concert hall dedicated to classical music. Home to the Malaysian Philharmonic Orchestra.",,"Persiaran Petronas Ground Floor, Tower 2, Petronas Twin Towers, Kuala Lumpur 50088 Malaysia",4.5
Island Horses,Horseback Riding Tours,"8:30 AM - 1:00 PM, 2:30 PM - 6:00 PM",Duration: 1-2 hours,"At Island Horses, you'll delight in different horseback riding experiences: Fun Rides on Lead Rope, Beach or Jungle Rides, and Exclusive Jungle Trails",,"Island Horses Sdn Bhd Jalan Telaga Tujuh Seven Wells Waterfall Mukim Padang Matsirat, Langkawi 07100 Malaysia",4.5
Universal Diver,Speciality & Gift Shops,8:00 AM - 6:30 PM,Duration: 2-3 hours,5 start Scuba Diving Center located at the Marine Park center beach on the big island of Perhentian. We conduct trial dives up to Divemaster training.,,,4.5
Wellness Art Massage Training,Spas,,Duration: < 1 hour,"Wellness Art is a Massage School led by an internationally trained Physiotherapist. The courses are all professionally certified and recognised by the Malaysian government. We have a variety of courses. Choose them to match your interests. Most importantly, we help our graduate trainees with placement services and corporate events. These events guarantee you will EARN BACK 100% of your fees.",,"Lot 3.01 2nd Floor G&H Wisma Central, Jalan Ampang, Kuala Lumpur 50450 Malaysia",5
Panpuri Organic Spa Penang,Spas,,Duration: 2-3 hours,,,"Panpuri Organic Spa Penang 10 Lebuh Farquhar Eastern Oriental Hotel, Penang Island 10200 Malaysia",5
Vibes Spa,Spas,10:00 AM - 11:00 PM,Duration: 1-2 hours,Vibes Spa provides a sanctuary where millennial and spa influencers converge to experience an array of therapeutic remedies that are carefully selected to suit a high-paced lifestyle. Get your Vibes…,,"4 Jalan Conlay, Kuala Lumpur 50450 Malaysia",5
Tropical Spice Garden Cooking School,Cooking Classes,9:00 AM - 6:00 PM,,"A first of it’s kind in Penang, the school is custom-made with individual purpose-built workstations that allows for a memorable hands-on cooking experience.As classes are limited to 10 persons, chefs are able to provide a personalised approach. Though the menus follow authentic and traditional methods they are taught in such a way that you are able to recreate the delicious dishes at home.",,"Lot 595 Mukim 2 Jalan Teluk Bahang, Teluk Bahang, Penang Island 11050 Malaysia",5
Malaysia Taxi Airport Transportation and Tour,Taxis & Shuttles,12:00 AM - 11:59 PM,Duration: More than 3 hours,"Personal tour guide driver Tour and transportation InterCity transfer Family Van MPV Reliable and trustworthy

Maleyse Taxi Airport Transportation and Tour

- Rosman Shafie

Planning a vacation? Come to Malaysia, take a private free and easy tour of our beautiful country. We cater to your interests - sightseeing, adventure, shopping, beaches and islands... Suitable for individuals, couples, families, groups of up to 18 persons and for travellers on a budget. You can choose from sedans, MPVs and family vans. Our reliable and efficient drivers with more than 15 years experience are ready to serve you. So come and enjoy a good and relaxing holiday with us.",,,5
Batik Boutique,Speciality & Gift Shops,9:00 AM - 6:00 PM,Duration: 2-3 hours,"Explore the process of Batik or Shibori (tie dye) and become an artist for a day by creating your own patterns and designs in our workshop. You will learn the basics of batik or shibori and explore the process of hand-dyed textiles. At the end, you will take home your own personalised Batik Boutique product. Some product require up to one week for processing, so do let us know if you need your finished product the same day. Join us and learn how to make your own batik products and gifts!",,"62-1 The Row Jalan Doraisamy The Row, Kuala Lumpur 50300 Malaysia",5
Rumah Holistic,Spas,10:00 AM - 6:00 PM,Duration: 2-3 hours,"A spa, wellness retreat, homestay and training centre in nature. Booking one day in advance via website only. No walk-in.",,"Lot 160 Kampung Ranggot Besar Mukim Padang Matsirat, Langkawi 07100 Malaysia",5
Bora Bora by Sunset,Bars & Clubs,,,Bora Bora by Sunset was finally launched on June 3 2011 after much work and sweat from staffs of the defunk Sunset Bistro which was burnt to ashes late January 2011 ....its a reincarnation of sunset bistro reborn with a new twist. created by Yusri with a rather similar ambiance of a beach and free life....the staffs are the same and so does everything familiar with what sunset bistro used to offer...its more refine with a bigger bar and a cool shady shack even the heaviest monsoon rain couldn't even drop on you....situated by the beach and extended down to the edge of the water complimented with shaddy umbrellas and a big platform overseeing the sunset and the water of enchanting Ferringhi...Bora Bora which means water..and water it is best is what we offer to quench your thirst from noon till midnight daily even on holidays even meaning to sacrifice our rest just to honour and serve all our clients to the best..kitchen is new and spacious to cater for whatever craving you guys need to fill up the empty stomach with care and taste of a wonderful bistro exotic. ,,"Lot 415, Batu Ferringhi, Batu Ferringhi, Penang Island 10100 Malaysia",4
JungleWalla,Boat Tours,8:00 AM - 6:00 PM,,,,Call,5
PS150,Bars & Clubs,4:00 PM - 9:30 PM,Duration: 1-2 hours,"PS150 is a cocktail bar located on Petaling Street in the heart of KL’s Chinatown. Housed in a pre-war building, our space has lived through different ages and we are continuously inspired by this. At PS150, we serve signature cocktails that bookmark significant eras in the history of mixing. A global selection of spirits and liqueurs curated by our team are also available to choose from.",,"150 Jalan Petaling Ground Floor, Kuala Lumpur 50000 Malaysia",4.5
Thai Paradise Spa,Health Clubs,10:30 AM - 5:00 AM,Duration: 1-2 hours,"Authentic Thai Massage and Spa in the heart of Kuala Lumpur, near the KL Tower. Probably the best Spa experience in KL. Miss it, you miss KL!",,"Jalan Puncak Level 9, KH Tower, Off Jalan P.Ramlee, Kuala Lumpur 50250 Malaysia",4.5
Bellis Spa,Spas,,Duration: 1-2 hours,,,"Jalan Padang Matsirat No 41, Langkawi Mall, Kuah, Langkawi 07000 Malaysia",4.5
Serenity by POSH,Spas,10:00 AM - 8:00 PM,Duration: 1-2 hours,"Nested in the heart of Kuala Lumpur, Serenity by POSH, the sky spa at 39, is where you can unwind and de-stress in an exquisite interior with a breathtaking city skyline view. Whether it is a self-pampering session or to get away from the hustling and bustling of everyday life, we invite you to experience tranquility like never before. Our luxurious spa boasts a suite of six spacious, high-ceilinged treatment rooms designed to exude stillness and serenity—each with its own relaxation area, shower, personal changing area and closet to give you the ultimate privacy during your spa encounter. You can also plan an event with us in celebration of your anniversaries, bridal parties, birthdays or just a pick-me-up because you deserve the much needed self-care and be assured to leave with blissful memories.",,"Level 39, The Spa Element Kuala Lumpur, 8, Lorong Binjai, Kuala Lumpur 50450 Malaysia",5
Danai Wellness @ Vangohh Eminent,Spas,10:00 AM - 9:00 PM,,"Danai Wellness is a Malaysia-based company established in 2004. Our parent company is listed on 1exchange Singapore and principally engaged in the provision of a wide range of services in the spa and medical wellness industry. We are an award-winning wellness brand with a prominent presence. Our current portfolio encompasses Danai Spa, Danai Wellness, Danai Medi-Wellness & La'gent, providing a myriad of products, services and treatments in various areas that include Spa, Meridian Massages, Advanced Aesthetics Facials, Hair Atelier and Medical Wellness. Tapping into our expertise as a leader in wellness for over 18 years and helmed by a panel of medical doctors, we strive to offer a suite of safe, efficient and effective services by employing a medical-based wellness approach.",,"3406, 3rd Floor, Jalan Machang Bubok 2 Taman Machang Bubok, Bukit Mertajam 14020 Malaysia",5
